post_id	date	num_likes	num_angry	num_shares
904277726319518_1336516093095677	2017-03-01T12:07:07+0000	18221	7	2097
904277726319518_1330904206990199	2017-02-25T13:07:00+0000	4264	1	366
904277726319518_1330881746992445	2017-02-24T12:36:24+0000	8419	28	1390
904277726319518_1330019307078689	2017-02-23T16:47:34+0000	22571	3	9388
904277726319518_1311993112214642	2017-02-22T17:53:43+0000	8215	0	576
904277726319518_1325524410861512	2017-02-19T22:31:48+0000	3957	4	213
904277726319518_1323883684358918	2017-02-19T22:05:20+0000	6392	2	293
904277726319518_1323948981019055	2017-02-18T17:41:50+0000	7373	0	589
904277726319518_1322361614511125	2017-02-17T14:45:57+0000	4599	2	199
904277726319518_1320279011386052	2017-02-16T01:28:49+0000	3011	1	414
904277726319518_1312258088854811	2017-02-07T21:24:55+0000	4233	2	129
904277726319518_1310233479057272	2017-02-06T11:58:10+0000	2854	1	85
904277726319518_1306857386061548	2017-02-02T18:52:45+0000	12548	12	79
904277726319518_1304794086267878	2017-01-31T21:37:03+0000	3562	1	154
904277726319518_1285091498238137	2017-01-12T11:23:39+0000	6298	10	617
904277726319518_1281972351883385	2017-01-08T15:29:22+0000	4201	4	306
904277726319518_1281031791977441	2017-01-07T11:20:11+0000	11320	2	3629
904277726319518_1277789385635015	2017-01-05T12:24:07+0000	7522	6	670
904277726319518_1277203279026959	2017-01-02T18:00:04+0000	26787	30	17703
904277726319518_1274690439278243	2016-12-30T19:14:22+0000	27473	39	5216
904277726319518_1273752256038728	2016-12-29T14:10:23+0000	11145	4	1578
904277726319518_1273038542776766	2016-12-28T16:57:29+0000	5880	1	694
904277726319518_1265296626884291	2016-12-22T22:05:50+0000	2114	1	169
904277726319518_1259875570759730	2016-12-19T17:08:46+0000	7785	3	1112
904277726319518_1255711827842771	2016-12-16T13:21:34+0000	3830	3	822
904277726319518_1253823661364921	2016-12-14T20:23:06+0000	3654	1	128
904277726319518_1251159871631300	2016-12-12T12:43:06+0000	10599	1	1183
904277726319518_1250477728366181	2016-12-11T19:49:09+0000	4489	2	229
904277726319518_1250187041728583	2016-12-11T14:26:38+0000	2842	3	581
904277726319518_1247988028615151	2016-12-09T18:54:06+0000	2239	0	368
904277726319518_1243226345757986	2016-12-06T12:34:37+0000	2398	10	530
904277726319518_1239757296104891	2016-12-03T21:59:38+0000	7715	0	1210
904277726319518_1236765659737388	2016-12-01T21:33:48+0000	45464	13	46735
904277726319518_1233165766764044	2016-11-28T20:15:15+0000	1935	3	619
904277726319518_1232798590134095	2016-11-28T13:11:49+0000	1282	8	198
904277726319518_1230020390411915	2016-11-26T01:41:13+0000	1197	3	115
904277726319518_1228547277225893	2016-11-24T18:46:58+0000	934	0	0
904277726319518_1225745614172726	2016-11-23T13:31:05+0000	5466	0	829
904277726319518_1225660234181264	2016-11-21T18:28:49+0000	3473	9	342
904277726319518_1224597500954204	2016-11-20T13:58:31+0000	1855	0	217
904277726319518_1223072687773352	2016-11-18T20:15:26+0000	8778	10	776
904277726319518_1216440295103258	2016-11-12T15:39:37+0000	6021	26	1109
904277726319518_1213285175418770	2016-11-08T14:03:27+0000	5427	2	1057
904277726319518_1212376328842988	2016-11-07T12:51:35+0000	3903	0	278
904277726319518_1210463772367577	2016-11-05T14:00:36+0000	5726	297	874
904277726319518_1207539685993319	2016-11-02T01:18:58+0000	1874	2	218
904277726319518_1207490279331593	2016-11-02T00:06:17+0000	2651	5	358
904277726319518_1204245326322755	2016-10-29T12:51:41+0000	8625	5	1599
904277726319518_1203280286419259	2016-10-28T20:17:14+0000	3835	3	62
904277726319518_1202720559808565	2016-10-27T20:36:09+0000	14182	3	75
904277726319518_1195954583818496	2016-10-20T18:01:23+0000	5580	46	769
904277726319518_1195709170509704	2016-10-20T11:22:34+0000	6175	219	1006
904277726319518_1193956854018269	2016-10-18T13:38:07+0000	6775	247	4335
904277726319518_1192150880865533	2016-10-16T16:13:22+0000	2711	3	227
904277726319518_1192146920865929	2016-10-16T16:04:45+0000	5126	2	538
904277726319518_1189120051168616	2016-10-13T15:09:29+0000	2014	17	0
904277726319518_1187494167997871	2016-10-11T20:59:18+0000	4419	44	672
904277726319518_1185647398182548	2016-10-09T20:20:53+0000	23812	15	1458
904277726319518_1185603661520255	2016-10-09T19:36:00+0000	3526	6	169
904277726319518_1185549461525675	2016-10-09T18:46:30+0000	38414	29	6176
904277726319518_1183109338436354	2016-10-06T21:05:03+0000	37306	78	7051
904277726319518_1182888655125089	2016-10-06T18:34:45+0000	20150	31	3848
904277726319518_1182091818538106	2016-10-05T17:05:30+0000	15887	3	295
904277726319518_1181999298547358	2016-10-05T15:25:18+0000	29442	22	764
904277726319518_1181204251960196	2016-10-04T19:43:54+0000	8992	68	1101
904277726319518_1180886978658590	2016-10-04T11:56:51+0000	13971	20	3330
904277726319518_1180022845411670	2016-10-03T17:21:13+0000	51305	23	4660
904277726319518_1178306748916613	2016-10-02T02:50:00+0000	4935	19	893
904277726319518_1178580758889212	2016-10-02T02:30:00+0000	2936	0	748
904277726319518_1178559405558014	2016-10-02T02:00:00+0000	12571	18	966
904277726319518_1177165425697412	2016-10-02T01:30:00+0000	3152	2	784
904277726319518_1178370055576949	2016-10-02T01:15:00+0000	33644	31	35910
904277726319518_1178561752224446	2016-10-02T00:45:01+0000	18280	17	9308
904277726319518_1178568325557122	2016-10-02T00:25:00+0000	2256	0	415
904277726319518_1178563752224246	2016-10-02T00:00:00+0000	8000	10	1618
904277726319518_1178379775575977	2016-10-01T23:20:00+0000	1400	1	379
904277726319518_1178543115559643	2016-10-01T22:50:12+0000	7788	32	1772
904277726319518_1178524072228214	2016-10-01T22:24:49+0000	5948	4	660
904277726319518_1178346812245940	2016-10-01T21:37:38+0000	929	0	87
904277726319518_1178327705581184	2016-10-01T21:00:00+0000	5233	1	1994
904277726319518_1178320625581892	2016-10-01T20:17:13+0000	2928	1	780
904277726319518_1178311548916133	2016-10-01T19:30:56+0000	3505	2	143
904277726319518_1177162229031065	2016-10-01T18:45:00+0000	987	2	112
904277726319518_1178246252255996	2016-10-01T18:02:36+0000	2563	1	541
904277726319518_1177500768997211	2016-10-01T17:00:15+0000	5197	8	2436
904277726319518_1178154435598511	2016-10-01T16:25:10+0000	2545	3	534
904277726319518_1176247799122508	2016-10-01T16:00:02+0000	2320	1	230
904277726319518_1178094218937866	2016-10-01T15:30:00+0000	3279	1	377
904277726319518_1178082852272336	2016-10-01T15:02:29+0000	1559	0	234
904277726319518_1178043962276225	2016-10-01T14:35:09+0000	1765	2	276
904277726319518_1178031368944151	2016-10-01T14:00:00+0000	6655	11	1489
