post_id	date	message	num_likes	num_angry	num_shares
904277726319518_2716032381810701	2019-12-15T12:47:13+0000	"Compreens\u00edvel: Depois de 28 anos de f\u00e9rias, \u2018aposentado\u2019 aos 33 anos, Bolsonaro relata cansa\u00e7o extremo e quer diminuir ritmo da agenda."	9946	1394	7020
904277726319518_2713590142054925	2019-12-14T11:29:36+0000	"Um ano de Bolsonaro."	1711	136	151
904277726319518_2712145788866027	2019-12-13T18:48:44+0000	"Boa not\u00edcia: Henrique Schaumann e Rebou\u00e7as ter\u00e3o ciclovia; via exclusiva da Radial ir\u00e1 at\u00e9 o centro. Nosso plano de mobilidade urbana foi reconhecido internacionalmente: pedestres, ciclistas e usu\u00e1rios de transporte p\u00fablico devem ser priorizados. Viva SP."	4490	2	361
904277726319518_2708048415942431	2019-12-11T23:57:24+0000	"Ser\u00e1 que o Bolsonaro, 64,  aceitaria um debate com a Greta, 16?"	13803	11	1734
904277726319518_1042647922746492	2019-12-09T23:00:34+0000	"Fernando Haddad entrevista o diplomata e ex-Ministro das Rela\u00e7\u00f5es Exteriores Celso Amorim."	1644	0	408
904277726319518_2698848960195710	2019-12-07T21:38:14+0000	""	9306	35	1300
904277726319518_2697696636977609	2019-12-07T10:33:45+0000	"Na coluna da semana, comento os resultados do Pisa. Por que o Brasil, que evoluiu tanto at\u00e9 2009, estagnou de 2012 para c\u00e1? Exploro hip\u00f3teses. Faltaram recursos para a educa\u00e7\u00e3o ou as regi\u00f5es ricas do pa\u00eds podem ter decepcionado?"	795	2	124
904277726319518_2688844101196196	2019-12-03T12:10:11+0000	"Depois de atacar direitos de negros, ind\u00edgenas, LGBTs, mulheres e pobres em geral, governo desobriga empresa de cumprir cota para trabalhador com defici\u00eancia."	4010	2866	7438
904277726319518_2687191001361506	2019-12-02T17:54:14+0000	"O governo ter\u00e1 a oportunidade de medir os resultados da nova diplomacia da vassalagem."	2343	6	75
904277726319518_1694779503985268	2019-12-02T23:00:13+0000	"Fernando Haddad entrevista o economista Ant\u00f4nio Delfim Netto."	2039	13	450
